image,coder,noise_kind,std,variance,pcc,cr,log_cr,psnr,haar_psi
fr02.bmp,JPEG,gaussian,0,0,73.0,4.677384244803283,0.6700030484509913,32.84872414981748,0.9678720235824585
fr02.bmp,JPEG,gaussian,0,0,74.0,4.546533004960283,0.6576803481386008,33.04665367606877,0.969764232635498
fr02.bmp,JPEG,gaussian,0,0,75.0,4.506592858739191,0.6538483241703974,33.18042549551095,0.9703366756439209
fr02.bmp,JPEG,gaussian,0,0,76.0,4.398020300310376,0.6432572296387848,33.40460418469356,0.971899688243866
fr02.bmp,JPEG,gaussian,0,0,77.0,4.258764661922864,0.6292836417520379,33.63281603669752,0.9740779399871826
fr02.bmp,JPEG,gaussian,0,0,78.0,4.145486748054905,0.6175755311669667,33.83552045879567,0.9754528403282166
fr02.bmp,JPEG,gaussian,0,0,79.0,4.060345094637713,0.6085629464658058,34.04099420918846,0.9769426584243774
fr02.bmp,JPEG,gaussian,0,0,80.0,3.9524161326799847,0.5968626632972948,34.28811473422043,0.9784310460090637
fr02.bmp,JPEG,gaussian,0,0,81.0,3.8222325906917067,0.5823171112329837,34.56968962053418,0.9804422855377197
fr02.bmp,JPEG,gaussian,0,0,82.0,3.7222616647260955,0.5708068995718264,34.83520907466757,0.9814621806144714
fr02.bmp,JPEG,gaussian,0,0,83.0,3.581006502376919,0.5540051096027578,35.1293860249159,0.9830628633499146
fr02.bmp,JPEG,gaussian,0,0,84.0,3.4778640132669985,0.5413125968034538,35.448049710154194,0.9845000505447388
fr02.bmp,JPEG,gaussian,0,0,85.0,3.3802351970290903,0.5289469195729775,35.7951160306322,0.9857784509658813
fr02.bmp,JPEG,gaussian,0,0,86.0,3.2229762958591524,0.5082571114026773,36.206001664318045,0.9875217080116272
fr02.bmp,JPEG,gaussian,0,0,87.0,3.128434016755376,0.49532699950493014,36.60477683564812,0.9886455535888672
fr02.bmp,JPEG,gaussian,0,0,88.0,2.9787059973183645,0.47402763982351,37.10424907417804,0.990002453327179
fr02.bmp,JPEG,gaussian,0,0,89.0,2.8688181927618546,0.45770302632819954,37.61450528853906,0.9911312460899353
fr02.bmp,JPEG,gaussian,0,0,90.0,2.70617018860523,0.4323551055091861,38.243893573634075,0.9924317002296448
fr02.bmp,JPEG,gaussian,0,0,91.0,2.59194368091123,0.41362556072663975,38.890142499916045,0.9936097860336304
fr02.bmp,JPEG,gaussian,0,0,92.0,2.4735699862235556,0.3933242026325665,39.714529788436614,0.994564414024353
fr02.bmp,JPEG,gaussian,0,0,93.0,2.303934751847848,0.36247017556988737,40.607448267338924,0.9956930875778198
fr02.bmp,JPEG,gaussian,0,0,94.0,2.1241198253020346,0.3271790124092525,41.72510706843309,0.99664705991745
fr02.bmp,JPEG,gaussian,0,0,95.0,1.9517686563274788,0.2904283393375336,42.99433267438991,0.9975568652153015
fr02.bmp,JPEG,gaussian,0,0,96.0,1.7814988990676055,0.25078555830139776,44.70227000541476,0.9982666373252869
fr02.bmp,JPEG,gaussian,0,0,97.0,1.6213053615936965,0.20986481889886172,46.80780677753787,0.9988534450531006
fr02.bmp,JPEG,gaussian,0,0,98.0,1.47420158473971,0.16855687372259134,49.88014300292682,0.9991998076438904
fr02.bmp,JPEG,gaussian,0,0,99.0,1.2869058080225428,0.10954676092687347,54.52839761548388,0.9994720816612244
fr02.bmp,JPEG,gaussian,5,25,1.0,49.99885561701316,1.6989600642379383,21.004378543954964,0.306588739156723
fr02.bmp,JPEG,gaussian,5,25,2.0,49.913175932977914,1.6982152045342198,21.00796841968631,0.3067750334739685
fr02.bmp,JPEG,gaussian,5,25,3.0,44.742106161461,1.6507164239441448,21.53925438722157,0.3566102087497711
fr02.bmp,JPEG,gaussian,5,25,4.0,37.70771001150748,1.5764301585110514,22.476238126089907,0.4296167194843292
fr02.bmp,JPEG,gaussian,5,25,5.0,32.35946179484014,1.5100012897797022,23.247922518424204,0.48819029331207275
fr02.bmp,JPEG,gaussian,5,25,6.0,28.278748651564186,1.4514601878071645,23.861166089201447,0.5376964807510376
fr02.bmp,JPEG,gaussian,5,25,7.0,25.25715386838809,1.402384410000207,24.3675567861957,0.5806132555007935
fr02.bmp,JPEG,gaussian,5,25,8.0,23.017297392220563,1.3620543290005458,24.803612461689916,0.6196816563606262
fr02.bmp,JPEG,gaussian,5,25,9.0,21.065895210543232,1.3235799195149958,25.182408644464576,0.6493647694587708
fr02.bmp,JPEG,gaussian,5,25,10.0,19.536741690266805,1.290852134411811,25.51591032310393,0.6746885180473328
fr02.bmp,JPEG,gaussian,5,25,11.0,18.19307377333611,1.2599060805930369,25.797898642312056,0.6977983117103577
