image,coder,noise_kind,std,pcc,cr,psnr
frisco.bmp,HEIF,gaussian,10,53.0,2.81681423536491,28.142639960789964
frisco.bmp,HEIF,gaussian,10,54.0,2.81681423536491,28.142639960789964
frisco.bmp,HEIF,gaussian,10,55.0,2.6390689807916883,28.15051398377338
frisco.bmp,HEIF,gaussian,10,56.0,2.6390689807916883,28.15051398377338
frisco.bmp,HEIF,gaussian,10,57.0,2.49908480780964,28.12951753570829
frisco.bmp,HEIF,gaussian,10,58.0,2.49908480780964,28.12951753570829
frisco.bmp,HEIF,gaussian,10,59.0,2.3695775971942257,28.108209239096148
frisco.bmp,HEIF,gaussian,10,60.0,2.3695775971942257,28.108209239096148
frisco.bmp,HEIF,gaussian,10,61.0,2.2450563096818397,28.113176996418474
frisco.bmp,HEIF,gaussian,10,62.0,2.2450563096818397,28.113176996418474
frisco.bmp,HEIF,gaussian,10,63.0,2.108249827089801,28.113894637046066
frisco.bmp,HEIF,gaussian,10,64.0,2.108249827089801,28.113894637046066
frisco.bmp,HEIF,gaussian,10,65.0,1.999008670321877,28.11770247536183
frisco.bmp,HEIF,gaussian,10,66.0,1.999008670321877,28.11770247536183
frisco.bmp,HEIF,gaussian,10,67.0,1.9112974372060807,28.114172715475068
frisco.bmp,HEIF,gaussian,10,68.0,1.9112974372060807,28.114172715475068
frisco.bmp,HEIF,gaussian,10,69.0,1.831471428671236,28.118885427288678
frisco.bmp,HEIF,gaussian,10,70.0,1.831471428671236,28.118885427288678
frisco.bmp,HEIF,gaussian,10,71.0,1.7473936808425543,28.112233963624163
frisco.bmp,HEIF,gaussian,10,72.0,1.7473936808425543,28.112233963624163
frisco.bmp,HEIF,gaussian,10,73.0,1.6784305690723762,28.11066165281545
frisco.bmp,HEIF,gaussian,10,74.0,1.6784305690723762,28.11066165281545
frisco.bmp,HEIF,gaussian,10,75.0,1.6157193397680065,28.11101126256482
frisco.bmp,HEIF,gaussian,10,76.0,1.6157193397680065,28.11101126256482
frisco.bmp,HEIF,gaussian,10,77.0,1.5549017746986808,28.109173817419336
frisco.bmp,HEIF,gaussian,10,78.0,1.5549017746986808,28.109173817419336
frisco.bmp,HEIF,gaussian,10,79.0,1.494992814289299,28.10923744888057
